ID,N,E,"Accuracy (radius, m)","Thickness, m","Absolute elevation, m a.s.l.",Type of excavation,Geomorphological position modern,Geomorphological position,Name of geographic feature,Nearest locality,Administrative unit,Type of deposits,Stratigraphic position,Chronological data available,Dating method,Number of magnetostratigraphy boundaries,Number of  14С dates ,Number of  OSL dates,Number of  TL dates,Number of (U–Th)/He dates ,Publication 1,DOI / link 1,Publication 2,DOI / link 2,Publication 3,DOI / link 3,Publication 4,DOI / link 4,Principal investigator,Comments,Data contributor,n_sources
1,44.78053,44.16336,5000,1–100,90–130,ND,ND,ND,Буденновск,Буденновск,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,Галай Научные статьи.pdf,ND,Галай_1981_Некотороые закономерности строения лессовых толщ.pdf,ND,Диссертация Галай,ND,Трофимов_ред._Лессовый покров Земли_2001.pdf,ND,ND,консолидировано из 5 источн.; г. Буденновск || г. Буденновск,auto-extraction (loess pipeline),5
2,44.32349,43.84953,5000,3–140,217.8–245.5,ND,ND,ND,Отказное,Отказное,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,2006 Позднекайнозойская геологическая история севера аридной зоны.pdf,ND,"2009_Калинин,Алексеев,Савко_ Лёссы, палеопочвы и палеогеография квартера юго-востока русской равнины.pdf",ND,"2011_Kalinin,Alexeev_Geochemical Characterization of Loess–Soil Complexes on the Terek–Kuma Plain and the Azov–Kuban’ Low",ND,ND,ND,ND,"консолидировано из 16 источн.; Во время лихвинского межледниковья в разрезе Отказное формировался почвенный комплекс ПК IV (мощностью более 3 м), состоящий из трех полноразвитых иск || Лессовый разрез «Отказное»",auto-extraction (loess pipeline),16
3,51.94954,33.31089,5000,0.5–16.85,ND,ND,ND,ND,Араповичи,Араповичи,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits; till,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,Bolihovskaya_NS_Kaplin_PA_2008_Problemi_paleogeografii_i_stratigrafii_pleistocena_Vipusk2.pdf,ND,Bolikhovskaya_N.S._Molodkov_A.N._2002_Dynamics...pdf,ND,Bolikhovskaya_Nataliya_S._Molodkov_Anatoly_N._QI_2006.pdf,ND,Gerasimov_IP_1965_Poslednii_Evropeiskii_lednikovii_pokrov.pdf,ND,ND,"консолидировано из 25 источн.; гический анализ был выполнен для разреза Араповичи. || ""Arapovichi section in the northeastern Dnieper Lowland""",auto-extraction (loess pipeline),25
4,49.24647,33.56221,5000,0.5–1.2,8,ND,ND,ND,Гуньки,Гуньки,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits; till,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,Bondarchuk_VG_1974_Materiali_po_chetvertichnomu_periodu_Ukraini.pdf,ND,Gerasimov_IP_1969_Loess_periglyacial_paleolit_na_territorii_Srednei_I_Vostochnoi_Evropi.pdf,ND,Gerasimov_IP_Velichko_AA_1980_Vozrast_i_rasprostranenie_maksimalnogo_oledeneniya_Vostochnoi_Evropi.pdf,ND,Velichko_AA_1975_Problemi_paleo,ND,ND,"консолидировано из 11 источн.; В 1,5 км к северу от с. Гуньки на правом берегу р.Псла || Рис. 3. Геологические раз- ... у - Гуньки",auto-extraction (loess pipeline),11
5,51.52071,36.25071,5000,0.5–60,ND,ND,ND,ND,Стрелица,Стрелица,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits; till,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,2006 Позднекайнозойская геологическая история севера аридной зоны.pdf,ND,Bolihovskaya_NS_Kaplin_PA_2008_Problemi_paleogeografii_i_stratigrafii_pleistocena_Vipusk2.pdf,ND,Bolikhovskaya_N.S._Molodkov_A.N._2002_Dynamics...pdf,ND,Bolikhovskaya_Nataliya_S._Molodkov_Anatoly_N._QI_2006.pdf,ND,ND,"консолидировано из 17 источн.; В разрезе Стрелица и Себряково-Михайловка в хрон Брюнес попадают только две погребенные почвы. || Опубликованные ранее данные по разрезу Стрелица указывают на то, что граница М/Б проходит непосредстве",auto-extraction (loess pipeline),17
8,44.14789,43.47417,5000,12–27,280–310,ND,ND,ND,Георгиевск,Георгиевск,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,51_1981_bull_quatern_comission.pdf,ND,"Байгушева, Титов_200.pdf",ND,Боганик_1948_К познанию четвертичных образований Восточного Предкавказья.pdf,ND,Галай Научные статьи.pdf,ND,ND,"консолидировано из 12 источн.; на правобережье р. Кумы западнее г. Георгиевска || 4 - A. m. cf. meridion- alis, ... Георгиевск",auto-extraction (loess pipeline),12
9,46.87872,38.75617,5000,ND,ND,ND,ND,ND,Порт-Катон,Порт-Катон,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,2006 Позднекайнозойская геологическая история севера аридной зоны.pdf,ND,"2009_Калинин,Алексеев,Савко_ Лёссы, палеопочвы и палеогеография квартера юго-востока русской равнины.pdf",ND,"2011_Kalinin,Alexeev_Geochemical Characterization of Loess–Soil Complexes on the Terek–Kuma Plain and the Azov–Kuban’ Low",ND,ND,ND,ND,"консолидировано из 12 источн.; Рис. 1.9. Результаты литолого-химического анализа разреза Порт-Катон || в разрезе Порт-Катон, почва мезинского комплекса имеет «растянутый» (около 4 м) профиль черноземной почвы",auto-extraction (loess pipeline),12
12,51.82354,33.07194,5000,0.5,ND,ND,ND,ND,Мезин,Мезин,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits; till,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,Gerasimov_IP_1969_Loess_periglyacial_paleolit_na_territorii_Srednei_I_Vostochnoi_Evropi.pdf,ND,Gerasimov_IP_Velichko_AA_1980_Vozrast_i_rasprostranenie_maksimalnogo_oledeneniya_Vostochnoi_Evropi.pdf,ND,Kaplin_PA_1976_Rukovodstvo_po_izucheniu_noveishih_otlozhenii.pdf,ND,Markov_KK_1961_Relief_i_stratigraf,ND,ND,консолидировано из 20 источн.; в разрезах Мезина и Брянск дали около 25.000 лет || 4. Мезин,auto-extraction (loess pipeline),20
14,56.25094,93.53286,5000,0.5–20,ND,ND,ND,ND,Железногорск,Железногорск,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,Velichko_AA_1997_Lessovo-pochvennaya_formaciya_Vostochno-Evropeiskoi_ravnini.pdf,ND,Velichko_AA_1997_Lessovo-pochvennaya_formaciya_Vostochno_evropeiskoi_ravnini.pdf,ND,"Сычева, 2003",ND,ND,ND,ND,консолидировано из 3 источн.; Глава 1 Ключевой участок Железногорск || Ключевой участок Железногорск,auto-extraction (loess pipeline),3
15,47.07299,31.81631,5000,2–10,ND,ND,ND,ND,Каменная Балка,Каменная Балка,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits; volcanic ash,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,2006 Позднекайнозойская геологическая история севера аридной зоны.pdf,ND,Leonova_NB_Nesmeyanov_SA_2006_Paleoekologiya_Kamennaya_Balka.pdf,ND,"Леонова, Несмеянов. 2006. Каменная балка..pdf",ND,ND,ND,ND,"консолидировано из 3 источн.; расположение культурных слоев на стоянке Каменная Балка II || группа верхнепалеолитических стоянок откры-того типа, выделяющихся в отдельную каменнобалковскую археологическую культуру, находится в выс",auto-extraction (loess pipeline),3
16,47.13439,38.5399,5000,9.7–17,17.8,ND,ND,ND,Беглица,Беглица,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,2006 Позднекайнозойская геологическая история севера аридной зоны.pdf,ND,Beglitsa 2018.pdf,ND,Dodonov_azov_2005.pdf,ND,Guidebook.pdf,ND,ND,"консолидировано из 8 источн.; представлены в разрезах Подлюдки, Семибалки, Беглица. || Формирование нижней палеопочвы мезинского педокомплекса (Беглица—4.03; Беглица—2.05)",auto-extraction (loess pipeline),8
